date,open,high,low,close,volume,rs_nikkei,rs_topix,rs
2024/08/13,760.0,762.0,734.0,748.0,200200,-1.0,-1.0,-1.0
2024/08/14,750.0,825.0,750.0,788.0,405800,-1.0,-1.0,-1.0
2024/08/15,793.0,794.0,757.0,777.0,217300,-1.0,-1.0,-1.0
2024/08/16,792.0,792.0,765.0,776.0,163100,-1.0,-1.0,-1.0
2024/08/19,782.0,858.0,782.0,809.0,559800,-1.0,-1.0,-1.0
2024/08/20,816.0,959.0,802.0,959.0,1459500,-1.0,-1.0,-1.0
2024/08/21,914.0,960.0,880.0,940.0,1270800,-1.0,-1.0,-1.0
2024/08/22,970.0,979.0,883.0,884.0,454900,-1.0,-1.0,-1.0
2024/08/23,880.0,880.0,834.0,865.0,229200,-1.0,-1.0,-1.0
2024/08/26,850.0,882.0,842.0,880.0,136400,-1.0,-1.0,-1.0
2024/08/27,890.0,890.0,860.0,860.0,107100,-1.0,-1.0,-1.0
2024/08/28,868.0,870.0,832.0,835.0,95800,-1.0,-1.0,-1.0
2024/08/29,831.0,844.0,802.0,838.0,79000,-1.0,-1.0,-1.0
2024/08/30,841.0,847.0,822.0,827.0,115300,-1.0,-1.0,-1.0
2024/09/02,843.0,864.0,823.0,856.0,104400,-1.0,-1.0,-1.0
2024/09/03,865.0,868.0,846.0,854.0,105700,-1.0,-1.0,-1.0
2024/09/04,809.0,828.0,797.0,803.0,164400,-1.0,-1.0,-1.0
2024/09/05,788.0,830.0,777.0,803.0,106600,-1.0,-1.0,-1.0
2024/09/06,791.0,820.0,778.0,782.0,129700,-1.0,-1.0,-1.0
2024/09/09,751.0,810.0,751.0,803.0,87100,-1.0,-1.0,-1.0
2024/09/10,818.0,824.0,785.0,798.0,63500,-1.0,-1.0,-1.0
2024/09/11,794.0,819.0,774.0,788.0,105300,-1.0,-1.0,-1.0
2024/09/12,803.0,836.0,796.0,836.0,109800,-1.0,-1.0,-1.0
2024/09/13,849.0,849.0,820.0,840.0,69200,-1.0,-1.0,-1.0
2024/09/17,850.0,850.0,785.0,793.0,84700,-1.0,-1.0,-1.0
2024/09/18,803.0,809.0,763.0,791.0,56400,-1.0,-1.0,-1.0
2024/09/19,795.0,834.0,794.0,825.0,73300,-1.0,-1.0,-1.0
2024/09/20,843.0,843.0,827.0,830.0,43300,-1.0,-1.0,-1.0
2024/09/24,838.0,838.0,800.0,801.0,54400,-1.0,-1.0,-1.0
2024/09/25,802.0,807.0,775.0,799.0,45700,-1.0,-1.0,-1.0
2024/09/26,795.0,803.0,786.0,792.0,70900,-1.0,-1.0,-1.0
2024/09/27,807.0,824.0,801.0,820.0,88000,-1.0,-1.0,-1.0
2024/09/30,790.0,803.0,776.0,785.0,145800,-1.0,-1.0,-1.0
2024/10/01,787.0,814.0,770.0,810.0,102400,-1.0,-1.0,-1.0
2024/10/02,793.0,800.0,777.0,787.0,82400,-1.0,-1.0,-1.0
2024/10/03,793.0,808.0,776.0,776.0,80100,-1.0,-1.0,-1.0
2024/10/04,778.0,785.0,738.0,738.0,163800,-1.0,-1.0,-1.0
2024/10/07,738.0,751.0,730.0,734.0,103600,-1.0,-1.0,-1.0
2024/10/08,732.0,732.0,709.0,714.0,119200,-1.0,-1.0,-1.0
2024/10/09,720.0,721.0,706.0,711.0,57500,-1.0,-1.0,-1.0
2024/10/10,711.0,711.0,678.0,690.0,152300,-1.0,-1.0,-1.0
2024/10/11,685.0,688.0,670.0,683.0,96200,-1.0,-1.0,-1.0
2024/10/15,711.0,711.0,680.0,690.0,126600,-1.0,-1.0,-1.0
2024/10/16,650.0,712.0,633.0,652.0,261500,-1.0,-1.0,-1.0
2024/10/17,654.0,709.0,654.0,680.0,175900,-1.0,-1.0,-1.0
2024/10/18,689.0,699.0,670.0,670.0,78500,-1.0,-1.0,-1.0
2024/10/21,670.0,698.0,659.0,660.0,66600,-1.0,-1.0,-1.0
2024/10/22,654.0,671.0,635.0,643.0,73900,-1.0,-1.0,-1.0
2024/10/23,634.0,643.0,627.0,643.0,47900,-1.0,-1.0,-1.0
2024/10/24,633.0,640.0,620.0,640.0,53600,-1.0,-1.0,-1.0
2024/10/25,640.0,640.0,613.0,618.0,63300,-1.0,-1.0,-1.0
2024/10/28,617.0,653.0,611.0,643.0,88600,-1.0,-1.0,-1.0
2024/10/29,655.0,684.0,655.0,677.0,83200,-1.0,-1.0,-1.0
2024/10/30,682.0,688.0,672.0,676.0,56400,-1.0,-1.0,-1.0
2024/10/31,686.0,695.0,678.0,690.0,37100,-1.0,-1.0,-1.0
2024/11/01,689.0,695.0,671.0,672.0,51600,-1.0,-1.0,-1.0
2024/11/05,682.0,683.0,663.0,666.0,19200,-1.0,-1.0,-1.0
2024/11/06,666.0,690.0,664.0,682.0,41400,-1.0,-1.0,-1.0
2024/11/07,686.0,723.0,681.0,720.0,76000,-1.0,-1.0,-1.0
2024/11/08,714.0,735.0,695.0,700.0,58000,-1.0,-1.0,-1.0
2024/11/11,700.0,717.0,691.0,692.0,26700,-1.0,-1.0,-1.0
2024/11/12,689.0,717.0,689.0,707.0,43100,-1.0,-1.0,-1.0
2024/11/13,708.0,728.0,708.0,719.0,49400,-1.0,-1.0,-1.0
2024/11/14,727.0,727.0,696.0,698.0,45600,-1.0,-1.0,-1.0
2024/11/15,698.0,737.0,696.0,735.0,63500,-1.0,-1.0,-1.0
2024/11/18,735.0,735.0,711.0,713.0,36200,-1.0,-1.0,-1.0
2024/11/19,712.0,729.0,708.0,715.0,24800,-1.0,-1.0,-1.0
2024/11/20,716.0,724.0,701.0,711.0,22300,-1.0,-1.0,-1.0
2024/11/21,711.0,725.0,701.0,725.0,34300,-1.0,-1.0,-1.0
2024/11/22,722.0,740.0,719.0,740.0,46300,-1.0,-1.0,-1.0
2024/11/25,743.0,748.0,725.0,727.0,39200,-1.0,-1.0,-1.0
2024/11/26,730.0,730.0,702.0,702.0,52800,-1.0,-1.0,-1.0
2024/11/27,702.0,719.0,688.0,689.0,36200,-1.0,-1.0,-1.0
2024/11/28,679.0,687.0,669.0,670.0,69600,-1.0,-1.0,-1.0
2024/11/29,668.0,685.0,666.0,682.0,54800,-1.0,-1.0,-1.0
2024/12/02,678.0,679.0,654.0,660.0,60400,-1.0,-1.0,-1.0
2024/12/03,660.0,667.0,644.0,645.0,67200,-1.0,-1.0,-1.0
2024/12/04,647.0,666.0,643.0,666.0,70700,-1.0,-1.0,-1.0
2024/12/05,670.0,679.0,667.0,679.0,38400,-1.0,-1.0,-1.0
2024/12/06,675.0,680.0,656.0,661.0,34400,-1.0,-1.0,-1.0
2024/12/09,662.0,686.0,655.0,679.0,63100,-1.0,-1.0,-1.0
2024/12/10,682.0,682.0,669.0,679.0,30700,-1.0,-1.0,-1.0
2024/12/11,670.0,672.0,661.0,661.0,53000,-1.0,-1.0,-1.0
2024/12/12,660.0,668.0,653.0,665.0,52500,-1.0,-1.0,-1.0
2024/12/13,673.0,676.0,652.0,655.0,41700,-1.0,-1.0,-1.0
2024/12/16,660.0,686.0,643.0,658.0,108200,-1.0,-1.0,-1.0
2024/12/17,651.0,665.0,644.0,646.0,39000,-1.0,-1.0,-1.0
2024/12/18,642.0,663.0,642.0,652.0,48600,-1.0,-1.0,-1.0
2024/12/19,642.0,647.0,635.0,641.0,92700,-1.0,-1.0,-1.0
2024/12/20,641.0,650.0,638.0,643.0,70200,-1.0,-1.0,-1.0
2024/12/23,642.0,653.0,633.0,638.0,130900,-1.0,-1.0,-1.0
2024/12/24,634.0,640.0,609.0,611.0,159500,-1.0,-1.0,-1.0
2024/12/25,604.0,616.0,600.0,605.0,128900,-1.0,-1.0,-1.0
2024/12/26,613.0,614.0,588.0,602.0,114900,-1.0,-1.0,-1.0
2024/12/27,600.0,620.0,600.0,606.0,57500,-1.0,-1.0,-1.0
2024/12/30,601.0,625.0,595.0,620.0,83100,-1.0,-1.0,-1.0
2025/01/06,635.0,635.0,601.0,605.0,54800,-1.0,-1.0,-1.0
2025/01/07,613.0,613.0,591.0,604.0,62300,-1.0,-1.0,-1.0
2025/01/08,600.0,602.0,591.0,593.0,62500,-1.0,-1.0,-1.0
2025/01/09,593.0,600.0,582.0,588.0,60700,-1.0,-1.0,-1.0
2025/01/10,579.0,599.0,574.0,594.0,46400,-1.0,-1.0,-1.0
2025/01/14,594.0,607.0,575.0,580.0,95700,-1.0,-1.0,-1.0
2025/01/15,579.0,586.0,568.0,568.0,76600,-1.0,-1.0,-1.0
2025/01/16,565.0,574.0,555.0,564.0,99800,-1.0,-1.0,-1.0
2025/01/17,557.0,560.0,548.0,558.0,94100,-1.0,-1.0,-1.0
2025/01/20,556.0,569.0,554.0,567.0,54400,-1.0,-1.0,-1.0
2025/01/21,567.0,588.0,562.0,572.0,31700,-1.0,-1.0,-1.0
2025/01/22,572.0,576.0,563.0,574.0,15100,-1.0,-1.0,-1.0
2025/01/23,574.0,578.0,568.0,573.0,14800,-1.0,-1.0,-1.0
2025/01/24,573.0,604.0,570.0,603.0,53700,-1.0,-1.0,-1.0
2025/01/27,605.0,605.0,590.0,592.0,29600,-1.0,-1.0,-1.0
2025/01/28,592.0,608.0,588.0,605.0,25300,-1.0,-1.0,-1.0
2025/01/29,606.0,616.0,603.0,610.0,38500,-1.0,-1.0,-1.0
2025/01/30,619.0,625.0,607.0,624.0,32100,-1.0,-1.0,-1.0
2025/01/31,628.0,628.0,608.0,613.0,33700,-1.0,-1.0,-1.0
2025/02/03,610.0,610.0,590.0,590.0,26900,-1.0,-1.0,-1.0
2025/02/04,594.0,604.0,589.0,595.0,15600,-1.0,-1.0,-1.0
2025/02/05,596.0,611.0,591.0,611.0,18000,-1.0,-1.0,-1.0
2025/02/06,615.0,615.0,603.0,613.0,13300,-1.0,-1.0,-1.0
2025/02/07,605.0,609.0,600.0,605.0,14400,-1.0,-1.0,-1.0
2025/02/10,603.0,624.0,602.0,624.0,17400,-1.0,-1.0,-1.0
2025/02/12,625.0,648.0,615.0,647.0,58500,-1.0,-1.0,-1.0
2025/02/13,650.0,656.0,634.0,642.0,50800,-1.0,-1.0,-1.0
2025/02/14,641.0,674.0,640.0,650.0,57000,-1.0,-1.0,-1.0
2025/02/17,670.0,674.0,650.0,661.0,51200,-1.0,-1.0,-1.0
2025/02/18,671.0,671.0,648.0,648.0,28900,-1.0,-1.0,-1.0
2025/02/19,658.0,662.0,630.0,630.0,54900,-1.0,-1.0,-1.0
2025/02/20,624.0,629.0,614.0,616.0,50700,-1.0,-1.0,-1.0
2025/02/21,611.0,629.0,609.0,625.0,16400,-1.0,-1.0,-1.0
2025/02/25,615.0,625.0,612.0,616.0,17100,-1.0,-1.0,-1.0
2025/02/26,614.0,615.0,591.0,613.0,42300,-1.0,-1.0,-1.0
2025/02/27,608.0,613.0,600.0,600.0,15600,-1.0,-1.0,-1.0
2025/02/28,596.0,600.0,588.0,599.0,22600,-1.0,-1.0,-1.0
2025/03/03,600.0,609.0,590.0,594.0,20200,-1.0,-1.0,-1.0
2025/03/04,587.0,594.0,573.0,588.0,31600,-1.0,-1.0,-1.0
2025/03/05,580.0,590.0,566.0,583.0,30100,-1.0,-1.0,-1.0
2025/03/06,575.0,591.0,575.0,579.0,39500,-1.0,-1.0,-1.0
2025/03/07,585.0,597.0,582.0,586.0,31300,-1.0,-1.0,-1.0
2025/03/10,593.0,593.0,582.0,593.0,16200,-1.0,-1.0,-1.0
2025/03/11,581.0,592.0,570.0,590.0,27500,-1.0,-1.0,-1.0
2025/03/12,593.0,613.0,591.0,611.0,34800,-1.0,-1.0,-1.0
2025/03/13,612.0,620.0,603.0,604.0,33700,-1.0,-1.0,-1.0
2025/03/14,617.0,617.0,606.0,608.0,31400,-1.0,-1.0,-1.0
2025/03/17,618.0,618.0,602.0,602.0,11000,-1.0,-1.0,-1.0
2025/03/18,605.0,626.0,605.0,620.0,33400,-1.0,-1.0,-1.0
2025/03/19,614.0,627.0,609.0,611.0,24000,-1.0,-1.0,-1.0
2025/03/21,612.0,624.0,605.0,612.0,19300,-1.0,-1.0,-1.0
2025/03/24,617.0,624.0,610.0,617.0,8700,-1.0,-1.0,-1.0
2025/03/25,618.0,625.0,607.0,618.0,13500,-1.0,-1.0,-1.0
2025/03/26,610.0,622.0,608.0,617.0,12200,-1.0,-1.0,-1.0
2025/03/27,609.0,615.0,604.0,604.0,13500,-1.0,-1.0,-1.0
2025/03/28,603.0,609.0,598.0,598.0,13800,-1.0,-1.0,-1.0
2025/03/31,590.0,595.0,578.0,584.0,32400,-1.0,-1.0,-1.0
2025/04/01,584.0,590.0,566.0,568.0,17900,-1.0,-1.0,-1.0
2025/04/02,568.0,570.0,563.0,567.0,16100,-1.0,-1.0,-1.0
2025/04/03,555.0,589.0,546.0,566.0,55800,-1.0,-1.0,-1.0
2025/04/04,555.0,558.0,491.0,528.0,88000,-1.0,-1.0,-1.0
2025/04/07,434.0,490.0,434.0,453.0,123000,-1.0,-1.0,-1.0
2025/04/08,469.0,525.0,469.0,525.0,43500,-1.0,-1.0,-1.0
2025/04/09,495.0,513.0,473.0,489.0,38500,-1.0,-1.0,-1.0
2025/04/10,526.0,542.0,520.0,526.0,41800,-1.0,-1.0,-1.0
2025/04/11,516.0,543.0,510.0,543.0,16100,-1.0,-1.0,-1.0
2025/04/14,553.0,553.0,533.0,538.0,18800,-1.0,-1.0,-1.0
2025/04/15,541.0,541.0,518.0,522.0,21400,-1.0,-1.0,-1.0
2025/04/16,518.0,520.0,496.0,497.0,25100,-1.0,-1.0,-1.0
2025/04/17,503.0,517.0,499.0,517.0,12000,-1.0,-1.0,-1.0
2025/04/18,520.0,530.0,518.0,518.0,14500,-1.0,-1.0,-1.0
2025/04/21,528.0,528.0,516.0,526.0,12400,-1.0,-1.0,-1.0
2025/04/22,528.0,573.0,528.0,539.0,45100,-1.0,-1.0,-1.0
2025/04/23,541.0,545.0,528.0,529.0,10700,-1.0,-1.0,-1.0
2025/04/24,539.0,539.0,528.0,528.0,7600,-1.0,-1.0,-1.0
2025/04/25,531.0,557.0,531.0,546.0,18700,-1.0,-1.0,-1.0
2025/04/28,540.0,582.0,535.0,567.0,91100,-1.0,-1.0,-1.0
2025/04/30,568.0,581.0,538.0,548.0,92700,-1.0,-1.0,-1.0
2025/05/01,558.0,558.0,538.0,538.0,11600,-1.0,-1.0,-1.0
2025/05/02,538.0,558.0,515.0,524.0,170900,-1.0,-1.0,-1.0
2025/05/07,524.0,553.0,512.0,519.0,98700,-1.0,-1.0,-1.0
2025/05/08,518.0,543.0,511.0,513.0,124500,-1.0,-1.0,-1.0
2025/05/09,513.0,517.0,508.0,508.0,19700,-1.0,-1.0,-1.0
2025/05/12,508.0,514.0,506.0,507.0,6100,-1.0,-1.0,-1.0
2025/05/13,513.0,517.0,509.0,517.0,10000,-1.0,-1.0,-1.0
2025/05/14,513.0,534.0,510.0,518.0,31500,-1.0,-1.0,-1.0
2025/05/15,521.0,533.0,511.0,526.0,33700,-1.0,-1.0,-1.0
2025/05/16,520.0,532.0,519.0,532.0,9400,-1.0,-1.0,-1.0
2025/05/19,526.0,538.0,517.0,517.0,19100,-1.0,-1.0,-1.0
2025/05/20,518.0,554.0,518.0,543.0,29700,-1.0,-1.0,-1.0
2025/05/21,543.0,561.0,542.0,558.0,24100,-1.0,-1.0,-1.0
2025/05/22,560.0,564.0,553.0,564.0,12900,-1.0,-1.0,-1.0
2025/05/23,564.0,578.0,558.0,559.0,27400,-1.0,-1.0,-1.0
2025/05/26,569.0,590.0,561.0,590.0,46300,-1.0,-1.0,-1.0
2025/05/27,598.0,690.0,595.0,690.0,354400,-1.0,-1.0,-1.0
2025/05/28,745.0,779.0,646.0,658.0,676400,-1.0,-1.0,-1.0
2025/05/29,660.0,661.0,613.0,623.0,121200,-1.0,-1.0,-1.0
2025/05/30,625.0,648.0,616.0,625.0,79600,-1.0,-1.0,-1.0
2025/06/02,725.0,725.0,725.0,725.0,125600,-1.0,-1.0,-1.0
2025/06/03,726.0,779.0,677.0,749.0,877500,-1.0,-1.0,-1.0
